Price,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
Ticker,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
2007-04-11,1438.869995,12484.620117,2459.310059,808.239990,6413.299805,7152.830078,5751.919922,17670.070312,20449.429688,3495.224121,13183.240234,1513.420044,46939.000000,13401.000000,6151.399902,4293.200195,1.343996,1.976206,119.290001,0.825628,1.139600,1.219900,0.728810,4.739000,4.885000,4.915000,1448.500000,1812.750000,107.484375,110.437500,62.009998,676.799988,13.850000,31.692844,50.066402,13.490000,30.264645
2007-04-12,1447.800049,12552.959961,2480.320068,815.049988,6416.399902,7142.950195,5748.939941,17540.419922,20380.210938,3531.029053,13113.809570,1525.609985,47347.000000,13499.700195,6158.200195,4280.020020,1.349109,1.980394,119.000000,0.831324,1.134600,1.216100,0.735294,4.737000,4.885000,4.910000,1455.500000,1827.750000,107.484375,110.468750,63.849998,675.099976,13.820000,31.714119,50.141762,12.710000,30.295443
2007-04-13,1452.849976,12612.129883,2491.939941,819.380005,6462.399902,7212.069824,5789.339844,17363.949219,20340.970703,3518.267090,13384.080078,1520.780029,47926.000000,13578.599609,6135.799805,4317.350098,1.352100,1.986492,119.230003,0.832917,1.137600,1.214700,0.737790,4.761000,4.870000,4.926000,1461.250000,1831.750000,107.312500,110.250000,63.630001,685.400024,14.058000,31.656382,50.057026,12.200000,30.227703
2007-04-16,1468.329956,12720.459961,2518.330078,831.440002,6516.200195,7338.060059,5861.970215,17628.300781,20757.529297,3596.440918,13695.580078,1532.040039,48921.000000,13660.000000,6197.700195,4379.250000,1.352905,1.988704,119.760002,0.832224,1.132310,1.214600,0.738989,4.735000,4.865000,4.890000,1475.500000,1848.250000,107.453125,110.593750,63.610001,690.099976,14.050000,31.644251,50.099388,11.980000,30.769585
2007-04-17,1471.479980,12773.040039,2516.949951,828.960022,6497.799805,7348.830078,5858.140137,17527.449219,20788.609375,3611.870117,13607.040039,1528.660034,48755.000000,13658.000000,6186.500000,4384.379883,1.357202,2.007387,118.949997,0.836400,1.131300,1.208800,0.747496,4.688000,4.860000,4.847000,1479.000000,1852.250000,107.796875,111.125000,63.099998,688.200012,13.992000,31.629034,50.372494,12.140000,30.898880
2007-04-18,1472.500000,12803.839844,2510.500000,824.380005,6449.399902,7282.339844,5835.950195,17667.330078,20777.089844,3612.395996,13672.190430,1534.579956,48710.000000,13712.000000,6236.899902,4358.950195,1.361396,2.009000,118.449997,0.838785,1.127100,1.203000,0.747999,4.654000,4.850000,4.819000,1480.250000,1848.250000,108.031250,111.468750,63.130001,689.099976,13.949000,31.638180,50.386612,12.420000,32.062683
2007-04-19,1470.729980,12808.629883,2505.350098,819.320007,6440.600098,7242.729980,5829.040039,17371.970703,20299.710938,3449.016113,13619.700195,1513.660034,48762.000000,13574.700195,6165.100098,4339.930176,1.362435,2.003607,118.250000,0.835771,1.128700,1.204680,0.744990,4.670000,4.845000,4.836000,1480.250000,1849.000000,107.984375,111.343750,61.830002,684.299988,13.716000,31.747541,50.419586,12.540000,32.075001
2007-04-20,1484.349976,12961.980469,2526.389893,828.859985,6486.799805,7342.540039,5938.899902,17452.619141,20566.589844,3584.204102,13897.410156,1533.079956,49408.000000,13664.700195,6207.500000,4416.790039,1.358899,2.004611,118.660004,0.836680,1.122200,1.207100,0.748503,4.672000,4.835000,4.845000,1493.000000,1862.500000,108.000000,111.281250,63.380001,692.000000,13.938000,31.729290,50.405441,12.070000,32.352077
2007-04-23,1480.930054,12919.400391,2523.669922,827.549988,6479.700195,7335.620117,5917.319824,17455.369141,20556.570312,3710.885986,13928.330078,1544.349976,49162.000000,13629.000000,6209.100098,4400.120117,1.358400,2.001001,118.570000,0.833194,1.121900,1.208700,0.745823,4.650000,4.840000,4.828000,1488.250000,1863.000000,108.125000,111.468750,65.889999,690.599976,14.033000,31.747541,50.551449,13.040000,32.191982
