Price,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,BTC-USD
Ticker,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,BTC-USD
2015-01-05,2020.579956,17501.650391,4652.569824,1181.349976,6417.200195,9473.160156,4111.359863,17408.710938,23721.320312,3350.519043,27842.320312,1915.750000,47517.000000,14392.700195,5450.299805,3023.139893,1.194643,1.528491,120.433998,0.806777,1.179300,1.005800,0.766577,2.039000,0.003000,2.605000,2016.000000,4161.750000,127.765625,146.968750,50.040001,1203.900024,16.179001,48.591824,81.040749,19.920000,274.473999
2015-01-06,2002.609985,17371.640625,4592.740234,1161.310059,6366.500000,9469.660156,4083.500000,16883.189453,23485.410156,3351.446045,26987.460938,1882.449951,48001.000000,14246.799805,5364.799805,3023.139893,1.193902,1.525832,119.425003,0.809979,1.175700,1.006200,0.770001,1.963000,0.020000,2.523000,1994.500000,4102.250000,128.359375,148.156250,47.930000,1219.300049,16.603001,48.405704,81.370758,21.120001,286.188995
2015-01-07,2025.900024,17584.519531,4650.470215,1175.969971,6419.799805,9518.179688,4112.729980,16885.330078,23681.259766,3373.954102,26908.820312,1883.829956,49463.000000,14285.000000,5353.600098,3026.790039,1.187536,1.513798,118.672997,0.808016,1.183700,1.011300,0.774773,1.954000,0.020000,2.515000,2019.500000,4151.500000,128.468750,148.187500,48.650002,1210.599976,16.510000,48.706768,81.478531,19.309999,294.337006
2015-01-08,2062.139893,17907.869141,4736.189941,1196.130005,6570.000000,9837.610352,4260.189941,17167.099609,23835.529297,3293.456055,27274.710938,1904.650024,49943.000000,14457.700195,5381.500000,3135.080078,1.183600,1.510757,119.289001,0.807559,1.181850,1.014740,0.777061,2.016000,0.018000,2.593000,2055.000000,4232.250000,128.109375,146.906250,48.790001,1208.400024,16.351000,49.073544,81.215897,17.010000,283.348999
2015-01-09,2044.810059,17737.369141,4704.069824,1185.680054,6501.100098,9648.500000,4179.069824,17197.730469,23919.949219,3285.412109,27458.380859,1924.699951,48840.000000,14384.900391,5465.600098,3042.899902,1.179607,1.508796,119.792000,0.811425,1.182740,1.018290,0.781311,1.971000,0.015000,2.556000,2035.250000,4200.750000,128.578125,147.531250,48.360001,1216.000000,16.386000,49.319832,81.431396,17.549999,290.407990
2015-01-10,2044.810059,17737.369141,4704.069824,1185.680054,6501.100098,9648.500000,4179.069824,17197.730469,23919.949219,3285.412109,27458.380859,1924.699951,48840.000000,14384.900391,5465.600098,3042.899902,1.179607,1.508796,119.792000,0.811425,1.182740,1.018290,0.781311,1.971000,0.015000,2.556000,2035.250000,4200.750000,128.578125,147.531250,48.360001,1216.000000,16.386000,49.319832,81.431396,17.549999,274.795990
2015-01-11,2044.810059,17737.369141,4704.069824,1185.680054,6501.100098,9648.500000,4179.069824,17197.730469,23919.949219,3285.412109,27458.380859,1924.699951,48840.000000,14384.900391,5465.600098,3042.899902,1.179607,1.508796,119.792000,0.811425,1.182740,1.018290,0.781311,1.971000,0.015000,2.556000,2035.250000,4200.750000,128.578125,147.531250,48.360001,1216.000000,16.386000,49.319832,81.431396,17.549999,265.660004
2015-01-12,2028.260010,17640.839844,4664.709961,1180.089966,6501.399902,9781.900391,4228.240234,17197.730469,24026.460938,3229.315918,27585.269531,1920.949951,48140.000000,14265.000000,5422.700195,3084.179932,1.187070,1.518949,118.211998,0.822233,1.184430,1.011820,0.784683,1.912000,0.013000,2.492000,2022.500000,4166.500000,129.062500,148.437500,46.070000,1232.699951,16.535000,49.259647,81.586327,19.600000,267.795990
2015-01-13,2023.030029,17613.679688,4661.500000,1180.640015,6542.200195,9941.000000,4290.279785,17087.710938,24215.970703,3235.301025,27425.730469,1917.140015,48042.000000,14187.200195,5404.700195,3133.860107,1.183152,1.517036,118.328003,0.815062,1.196800,1.014900,0.776518,1.890000,0.023000,2.482000,2016.000000,4158.500000,129.312500,148.625000,45.889999,1234.300049,17.125000,49.259647,81.660408,20.559999,225.860992
