Price,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
Ticker,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
2007-04-12,0.00618712,0.00545900,0.00850677,0.00839041,0.00048327,-0.00138221,-0.00051822,-0.00736434,-0.00339062,0.01019184,-0.00528050,0.00802230,0.00865457,0.00733815,0.00110488,-0.00307473,0.00379729,0.00211682,-0.00243402,0.00687624,-0.00439715,-0.00311990,0.00885772,-0.00042209,0.00000000,-0.00101784,0.00482095,0.00824067,0.00000000,0.00028293,0.02924092,-0.00251500,-0.00216846,0.00067075,0.00150421,-0.05955957,0.00101692
2007-04-13,0.00348193,0.00470255,0.00467389,0.00529852,0.00714355,0.00963010,0.00700279,-0.01011175,-0.00192726,-0.00362078,0.02040011,-0.00317094,0.01215469,0.00582752,-0.00364412,0.00868412,0.00221498,0.00307429,0.00193094,0.00191388,0.00264053,-0.00115188,0.00338809,0.00505374,-0.00307542,0.00325341,0.00394275,0.00218609,-0.00160035,-0.00198216,-0.00345148,0.01514185,0.01707480,-0.00182137,-0.00169242,-0.04095315,-0.00223796
2007-04-16,0.01059854,0.00855268,0.01053451,0.01461118,0.00829066,0.01731852,0.01246749,0.01510944,0.02027193,0.02197616,0.02300721,0.00737683,0.02054860,0.00597686,0.01003785,0.01423567,0.00059512,0.00111311,0.00443533,-0.00083253,-0.00466091,-0.00008234,0.00162454,-0.00547601,-0.00102725,-0.00733505,0.00970468,0.00896745,0.00130957,0.00311306,-0.00031437,0.00683383,-0.00056919,-0.00038490,0.00084600,-0.01819738,0.01776749
2007-04-17,0.00214301,0.00412499,-0.00054818,-0.00298721,-0.00282779,0.00146662,-0.00065359,-0.00573743,0.00149617,0.00428095,-0.00648585,-0.00220865,-0.00339900,-0.00014642,-0.00180879,0.00117072,0.00317076,0.00935068,-0.00678655,0.00500579,-0.00089243,-0.00478668,0.01144562,-0.00997566,-0.00102820,-0.00883229,0.00236927,0.00216187,0.00319396,0.00479212,-0.00804995,-0.00275697,-0.00413670,-0.00048008,0.00543784,0.01326726,0.00419393
2007-04-18,0.00069295,0.00240841,-0.00256590,-0.00554033,-0.00747654,-0.00908891,-0.00379507,0.00794900,-0.00055428,0.00014559,0.00477657,0.00386514,-0.00092341,0.00394593,0.00811375,-0.00581695,0.00308569,0.00080328,-0.00421231,0.00284790,-0.00371944,-0.00480970,0.00067301,-0.00727907,-0.00205978,-0.00579359,0.00084481,-0.00216187,0.00217187,0.00308859,0.00047536,0.00130685,-0.00307786,0.00028857,0.00028009,0.02280227,0.03697186
2007-04-19,-0.00120277,0.00037404,-0.00205345,-0.00615686,-0.00136537,-0.00545401,-0.00118477,-0.01685915,-0.02324428,-0.04628226,-0.00384659,-0.01372612,0.00106697,-0.01006358,-0.01157888,-0.00437299,0.00076265,-0.00268840,-0.00168988,-0.00360029,0.00141859,0.00139555,-0.00403111,0.00343206,-0.00103148,0.00352154,0.00000000,0.00040571,-0.00043400,-0.00112202,-0.02080740,-0.00698996,-0.01684484,0.00345044,0.00065361,0.00961545,0.00038422
2007-04-20,0.00921809,0.01190134,0.00836288,0.01157651,0.00714759,0.01368663,0.01867159,0.00463170,0.01306126,0.03844744,0.02018521,0.01274817,0.01316103,0.00660810,0.00685387,0.01755494,-0.00259889,0.00050096,0.00346126,0.00108706,-0.00577549,0.00200687,0.00470455,0.00042814,-0.00206607,0.00185928,0.00857653,0.00727472,0.00014469,-0.00056148,0.02475966,0.01118956,0.01605590,-0.00057410,-0.00028028,-0.03820052,0.00860190
2007-04-23,-0.00230664,-0.00329041,-0.00107720,-0.00158173,-0.00109507,-0.00094289,-0.00364030,0.00015756,-0.00048729,0.03473422,0.00222240,0.00732434,-0.00499139,-0.00261600,0.00025774,-0.00378136,-0.00036685,-0.00180242,-0.00075879,-0.00417464,-0.00026741,0.00132454,-0.00358643,-0.00471999,0.00103362,-0.00351488,-0.00318659,0.00026842,0.00115674,0.00168350,0.03883830,-0.00202521,0.00679279,0.00057410,0.00289248,0.07729854,-0.00496129
2007-04-24,-0.00035121,0.00266993,0.00034472,-0.00143902,-0.00777747,-0.00894167,-0.00530190,-0.00020624,0.00078924,0.00259601,0.01485075,0.00797150,-0.00185274,-0.00284359,-0.00337169,-0.00736550,0.00382442,0.00054032,-0.00075930,-0.00598107,-0.00044574,-0.00630756,-0.00349925,-0.00603968,-0.00103362,-0.00498343,0.00016797,0.00388402,0.00187685,0.00224027,-0.02008188,-0.00931046,-0.01899201,0.00686458,0.00251206,0.00611622,-0.00229807
