leverage_cap,base_depth,decay_rate,freeze_threshold,freeze_duration,cb_sensitivity,value_buy_threshold,cash_fragility,market_maker_resilience,max_drawdown,excess_kurtosis,vol_clustering,cascade_depth
10.0,200,0.01,0.3,1,0.3,0.05,0.15,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.01,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.01,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.01,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.08,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.08,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.15,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.01,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.15,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.05,0.08,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.01,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.08,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.08,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.01,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.08,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.15,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.15,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.01,0.1,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,0.3,0.2,0.15,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.01,0.01,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.01,0.2,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.08,0.2,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.15,0.01,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.08,0.1,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.08,0.01,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.01,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.15,0.1,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,0.3,0.4,0.15,0.2,-61.86,7.49,0.989,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.01,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.01,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.08,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.08,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.08,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.15,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.15,0.1,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.05,0.15,0.2,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.2,0.01,0.01,-62.79,-1.08,0.998,0.0
10.0,200,0.01,0.3,1,1.4,0.2,0.01,0.1,-62.79,-1.08,0.998,0.0
